JVARCHAR2 string 126|JVARCHAR2
JCHAR string 104|JCHAR
JNUMBER decimal 107|JNUMBER
JINTEGER decimal 107|JINTEGER
JDATE datetime 106|JDATE
JLONG string 109|JLONG
JRAW byte[] 120|JRAW
JNVARCHAR2 string 119|JNVARCHAR2
JROWID string 126|JROWID
JNCHAR string 117|JNCHAR
JCLOB string 105|JCLOB
JNCLOB string 116|JNCLOB
JBLOB byte[] 102|JBLOB
JBFILE byte[] 101|JBFILE
JFLOAT decimal 107|JFLOAT
JUROWID string 126|JUROWID
JBINARY_DOUBLE double 132|JBINARY_DOUBLE
JBINARY_FLOAT single 133|JBINARY_FLOAT
JURITYPE object 127|JURITYPE
JCHAR_VARYING string 126|JCHAR_VARYING
JCHARACTER string 104|JCHARACTER
JCHARACTER_VARYING string 126|JCHARACTER_VARYING
JDECIMAL decimal 107|JDECIMAL
JDOUBLE_PRECISION decimal 107|JDOUBLE_PRECISION
JINT decimal 107|JINT
JNATIONAL_CHAR string 117|JNATIONAL_CHAR
JNATIONAL_CHAR_VARYING string 119|JNATIONAL_CHAR_VARYING
JNATIONAL_CHARACTER string 117|JNATIONAL_CHARACTER
JNATIONAL_CHARACTER_VARYING string 119|JNATIONAL_CHARACTER_VARYING
JNCHAR_VARYING string 119|JNCHAR_VARYING
JNUMERIC decimal 107|JNUMERIC
JREAL decimal 107|JREAL
JSMALLINT decimal 107|JSMALLINT
JVARCHAR string 126|JVARCHAR
